Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-151a-5p	34.79	44.54	157.44	58.84	45.73	53.82	159.42	70.43	194.44	30.37	184.94	195.45	64.38	69.83	147.83
miR-151b	10.77	14.02	59.04	8.83	5.32	5.46	59.21	7.46	40.08	4.61	26.1	20.42	9.33	11.17	63.36
miR-152	43.9	61.04	203.36	45.11	84.54	53.04	286.95	82.86	51.95	53.82	60.14	40.84	33.59	50.28	121.43
miR-153	24.85	29.69	183.68	22.55	9.04	14.82	86.54	14.91	51.95	6.15	52.19	33.55	26.12	16.76	105.6
miR-1537	8.28	9.07	65.6	10.79	3.72	9.36	50.1	12.43	23.75	8.84	18.15	18.96	16.79	11.17	47.52
miR-1538	11.6	10.72	78.72	10.79	4.25	4.68	81.99	11.6	40.08	5.38	30.63	39.38	17.73	19.55	52.8
miR-1539	18.22	21.45	170.56	15.69	13.29	14.04	95.65	20.72	35.62	8.84	28.37	24.8	25.19	23.74	137.27
miR-154-5p	85.32	94.03	98.4	50.01	114.32	69.42	45.55	66.29	89.06	44.98	118	153.15	67.18	81	116.15
miR-155-5p	28.16	1	45.92	13.73	20.21	28.08	4.55	1	1.48	1	1.13	1.46	35.45	25.14	110.87
miR-15a-5p	520.18	779.46	1626.85	670.76	965.61	714.43	3042.61	1540.38	2827.56	881.19	2244.29	2475.23	495.42	656.38	1626.17
miR-15b-5p	463.86	701.93	610.07	378.53	850.23	424.29	1079.49	568.42	648.63	454.05	832.81	735.13	213.65	399.41	739.17
miR-16-5p	554.14	552.63	682.23	274.58	1098.54	613.04	592.12	228.69	356.23	306.42	798.78	783.26	362.93	335.17	1071.79
miR-181a-5p	1962.28	2062.89	655.99	2966.47	1882.83	2181.51	665	2417.04	13483.25	1673.95	12516.04	14173.13	3238.4	2195.38	675.81
miR-181b-5p	58.81	33.82	118.08	122.58	37.75	148.19	86.54	111.86	2262.05	123.41	1337.72	1497.97	122.22	64.24	47.52
miR-181c-5p	24.85	38.77	45.92	71.59	44.66	83.45	63.77	54.69	437.86	68.43	469.73	609.69	60.64	62.84	52.8
miR-182-5p	14.91	11.55	111.52	6.86	6.91	10.14	77.43	18.23	31.17	5.38	21.56	14.59	16.79	23.74	52.8
miR-1825	27.33	19.8	85.28	16.67	7.98	12.48	104.76	26.52	31.17	5.77	12.48	23.34	27.06	26.53	89.76
miR-1827	46.39	32.17	327.99	40.21	24.99	44.46	250.51	39.77	96.48	15.38	39.71	52.51	44.78	60.05	263.99
miR-183-5p	14.91	23.92	118.08	21.57	10.63	16.38	104.76	29	43.04	21.53	26.1	51.05	25.19	29.33	47.52
miR-184	8.28	10.72	65.6	8.83	6.38	10.14	54.66	7.46	20.78	3.84	14.75	14.59	11.2	11.17	31.68
miR-185-5p	28.16	46.19	131.2	37.26	42.54	44.46	163.97	48.89	123.2	56.9	174.73	230.46	35.45	33.52	158.39
miR-186-5p	22.36	23.92	85.28	12.75	28.18	14.04	36.44	12.43	31.17	13.46	28.37	51.05	22.39	18.16	58.08
miR-187-3p	5.8	14.85	104.96	8.83	5.85	8.58	63.77	13.26	25.23	6.92	32.9	40.84	16.79	27.93	63.36
miR-188-3p	16.57	14.85	209.92	33.34	10.1	16.38	127.53	24.86	69.76	15.38	59	53.97	36.39	33.52	105.6
miR-188-5p	9.11	46.19	387.03	49.03	16.48	18.72	223.19	68.77	305.76	88.81	233.73	316.51	40.12	50.28	258.71
miR-18a-5p	21.54	29.69	98.4	26.48	22.86	21.84	77.43	23.2	44.53	19.61	51.06	36.46	22.39	29.33	137.27
