Mature_Name	Sample_9	Sample_11	Sample_12	Sample_7	Sample_15	Sample_3	Sample_1	Sample_10	Sample_14	Sample_6	Sample_13	Sample_4	Sample_5	Sample_8	Sample_2
miR-134	61.72	49.8	26.95	126.26	158.55	212.15	44.01	23.09	48.39	23.42	60.35	33.98	45.45	55.51	32.39
miR-135a-5p	356.58	466.53	552.57	168.35	121.96	227.3	273.62	68.38	225.82	335.11	316.81	294.49	79.84	42.11	83.84
miR-135b-5p	2108.65	2075.82	2149.64	336.69	317.1	530.37	1345.13	718.48	1351.71	1978.24	1230.62	1513.22	2205.99	646.96	1356.61
miR-136-5p	1093.75	1514.93	1819.45	336.69	219.53	257.61	409.47	429.85	445.19	309.89	577.59	407.75	635.02	981.92	819.3
miR-137	185.15	183.47	252.7	157.82	170.75	287.91	208.56	283.31	196.79	165.75	88.36	133.65	490.08	495.75	480.15
miR-138-5p	72	68.15	70.76	136.78	134.16	227.3	24.87	18.65	61.29	19.82	36.64	22.65	6.14	22.97	22.86
miR-139-3p	150.86	141.53	208.9	263.04	195.14	348.53	68.88	25.76	70.97	73.87	81.9	72.49	18.42	30.63	57.16
miR-139-5p	267.44	188.71	178.58	168.35	109.77	166.69	24.87	26.64	70.97	30.63	36.64	38.51	15.97	40.2	20.96
miR-140-3p	133.72	120.57	188.68	189.39	292.71	212.15	40.18	33.75	48.39	52.25	60.35	63.43	55.27	61.25	49.54
miR-140-5p	596.59	919.96	1121.99	557.64	475.65	621.29	223.87	206.93	193.56	228.81	211.21	201.61	176.87	187.58	224.83
miR-141-3p	51.43	60.28	50.54	220.95	134.16	287.91	298.49	357.02	309.7	228.81	200.43	222	648.53	654.61	642.1
miR-142-3p	1189.76	1766.54	1920.53	6870.6	9805.77	7122.06	1944.03	2075.51	1767.86	1491.79	1420.27	1495.1	3376.55	2205.01	3542.04
miR-142-5p	133.72	62.9	33.69	168.35	207.34	257.61	78.45	20.43	83.88	27.03	81.9	29.45	17.2	28.71	53.35
miR-143-3p	336.01	222.78	3.37	1483.55	1914.81	606.13	1391.05	1914.77	1390.42	1317.03	1211.22	978.61	3570.61	5439.8	3740.2
miR-144-3p	113.15	44.56	3.37	368.26	890.32	651.59	1440.8	375.67	1090.4	594.55	586.21	681.86	1982.45	947.47	2042.53
miR-145-5p	939.46	1672.19	1768.91	3019.7	3024.66	2227.54	901.22	1192.73	732.31	1037.77	715.52	761.14	1984.9	1270.95	1712.91
miR-1468	85.72	36.69	60.65	147.3	121.96	121.23	19.13	14.21	48.39	14.41	34.48	31.71	11.05	36.37	38.11
miR-1469	48	31.45	47.17	94.69	146.35	136.38	13.39	10.66	25.81	16.22	25.86	18.12	11.05	19.14	11.43
miR-146a-5p	113.15	96.98	87.6	231.48	341.49	409.14	65.06	35.52	67.75	46.84	56.04	47.57	76.15	57.42	66.69
miR-146b-3p	54.86	57.66	43.8	136.78	134.16	90.92	15.31	9.77	25.81	10.81	25.86	27.18	18.42	36.37	20.96
miR-146b-5p	51.43	36.69	57.28	210.43	292.71	242.45	28.7	15.1	32.26	43.24	51.72	24.92	22.11	26.8	43.82
miR-1470	75.43	60.28	50.54	231.48	109.77	318.22	36.35	20.43	67.75	36.03	36.64	18.12	34.39	49.77	43.82
miR-1471	89.15	57.66	23.59	147.3	268.32	121.23	32.53	23.09	58.07	32.43	66.81	24.92	22.11	51.68	60.97
miR-147a	65.15	34.07	30.32	126.26	121.96	196.99	13.39	7.99	25.81	19.82	30.17	18.12	11.05	19.14	13.34
miR-147b	89.15	81.25	67.39	231.48	134.16	318.22	22.96	26.64	67.75	25.22	66.81	52.1	38.08	22.97	36.2
miR-148a-3p	171.43	186.09	205.53	16308.47	20282.32	12804.56	1098.3	1115.47	1045.23	1023.35	1023.72	1112.26	698.89	501.49	704.98
miR-148b-3p	2314.37	2039.12	1998.02	1799.19	2256.3	2651.83	1090.64	824.17	1161.37	945.88	980.61	1218.73	1569.74	1410.67	1396.62
miR-149-5p	1364.62	1761.3	2028.35	231.48	256.12	333.37	154.99	164.3	206.47	254.04	267.24	280.9	68.78	82.31	93.36
miR-150-5p	5132.76	3344.37	3072.84	4187.6	1707.47	1318.34	265.96	819.73	429.06	690.04	502.16	502.9	679.24	1368.56	422.99
miR-151a-3p	243.44	571.37	704.19	462.95	768.36	424.29	110.98	95.92	138.72	126.12	181.04	135.92	89.66	88.05	120.04
miR-151a-5p	449.16	427.22	451.49	368.26	341.49	363.68	80.36	70.16	161.3	124.32	148.71	135.92	105.63	162.7	102.89
miR-151b	92.57	60.28	47.17	136.78	146.35	136.38	24.87	10.66	25.81	12.61	21.55	20.39	12.28	17.23	32.39
miR-152	120	138.91	94.34	662.86	280.51	469.75	101.41	124.34	116.14	122.51	77.59	104.2	195.3	191.41	141
miR-153	120	120.57	77.49	199.91	243.92	424.29	57.4	14.21	38.71	34.23	60.35	52.1	20.88	34.45	68.59
miR-1537	54.86	41.94	43.8	115.74	109.77	151.53	19.13	20.43	25.81	21.62	38.79	24.92	8.6	28.71	20.96
miR-1538	92.57	70.77	90.97	189.39	121.96	181.84	26.79	12.43	45.16	10.81	40.95	24.92	9.83	26.8	24.77
miR-1539	82.29	65.52	57.28	220.95	317.1	393.99	42.1	20.43	54.84	32.43	58.19	36.24	30.71	47.85	49.54
miR-154-5p	205.72	272.58	353.78	105.22	268.32	227.3	197.08	103.91	187.11	160.35	155.17	115.53	264.08	153.13	217.21
miR-155-5p	3.43	2.62	3.37	10.52	256.12	106.07	65.06	1	58.07	64.86	81.9	31.71	46.67	1.91	1.91
