Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-330-5p	778	297	39	1465	369	1253	30	379	3007	1050	2445	3309	1463	945	28
miR-500a-3p	1153	1510	464	1027	1616	933	566	1862	969	1456	769	1093	1105	1358	579
miR-142-3p	1094	1770	925	741	2187	714	838	2741	302	1327	275	357	755	1194	921
miR-34a-5p	1046	1337	569	1160	1235	911	746	1380	1062	1348	886	1212	1209	1164	874
miR-377-3p	1349	2228	40	880	2130	865	49	2573	631	1530	594	681	1016	1351	73
miR-3607-3p	750	656	1965	1050	976	782	1503	961	1037	1155	881	1126	840	763	1308
miR-214-3p	1148	1745	1083	800	1873	687	1158	2081	108	1475	74	117	764	1313	1225
miR-320c	789	597	232	1167	613	1052	317	728	2012	1151	1590	2325	1415	847	345
miR-485-3p	718	372	37	1232	365	1151	42	381	2445	898	2045	2893	1514	739	47
miR-708-5p	681	61	67	1284	82	1187	63	116	2789	800	2418	3179	1342	729	65
miR-29c-3p	843	544	274	1094	622	1027	292	746	1849	1034	1641	2017	1248	877	307
miR-339-3p	717	391	313	1223	446	964	292	559	2207	918	1604	2412	1159	756	301
miR-450b-5p	1278	2269	169	771	2157	656	239	2458	23	1643	31	54	803	1435	257
miR-15b-5p	1043	1667	290	724	1938	677	250	2202	611	1284	524	756	790	1158	310
miR-520b	1163	2709	2	556	2740	521	3	3068	5	1396	2	NA	584	1320	3
miR-520c-3p	1163	2709	2	556	2740	521	3	3068	5	1396	2	NA	584	1320	3
miR-485-5p	618	357	35	1220	468	990	46	470	2083	922	1721	2724	1282	859	37
miR-409-5p	891	910	92	1100	1025	948	101	1037	1477	1074	1207	1788	1063	970	122
miR-1296-5p	807	119	13	1357	123	1299	26	152	1982	986	1975	2699	1478	750	36
miR-210-3p	975	1277	525	850	1353	761	573	1503	727	1239	624	817	833	1054	579
miR-519b-3p	1233	2797	5	510	2648	493	5	2692	1	1402	2	4	553	1301	3
