Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-199b-5p	900	981	82	410	1176	356	59	850	20	546	17	11	283	453	23
miR-19a-3p	35	35	41	21	43	25	25	17	12	24	5	11	15	21	11
miR-19b-3p	44	41	47	28	52	29	30	25	15	32	7	10	18	28	14
miR-200a-3p	42	61	1	24	73	21	3	65	NA	47	NA	1	17	43	NA
miR-200a-5p	2	1	8	1	NA	1	4	NA	NA	1	NA	NA	1	1	6
miR-200b-3p	5	5	1	2	13	NA	3	4	NA	3	NA	NA	1	1	NA
miR-200c-3p	5	8	NA	4	18	1	3	7	NA	3	NA	NA	1	1	NA
miR-202-5p	2	1	NA	NA	8	NA	NA	6	NA	2	NA	NA	2	NA	NA
miR-203a	875	1049	138	377	1201	361	114	1115	45	698	35	20	346	665	102
miR-203b-3p	2	2	NA	NA	1	NA	NA	2	NA	NA	2	2	NA	1	NA
miR-204-3p	2	NA	1	4	NA	3	1	NA	6	7	4	6	2	4	NA
miR-204-5p	466	32	56	888	35	737	51	21	1675	317	1732	1508	726	308	27
miR-205-3p	2	NA	NA	NA	3	NA	NA	3	NA	NA	NA	NA	1	NA	NA
miR-205-5p	1146	1390	NA	499	1427	385	3	1209	2	795	1	1	393	773	NA
miR-208b-3p	1	NA	1	2	1	NA	NA	NA	NA	1	1	1	3	NA	NA
miR-20a-3p	4	4	4	1	3	2	3	1	2	1	1	1	3	3	4
miR-20a-5p	325	250	476	255	278	215	356	214	148	197	152	118	205	174	220
miR-20b-5p	21	19	NA	13	28	9	NA	15	13	18	22	15	14	17	1
miR-21-3p	694	510	1410	391	701	406	1169	421	67	539	63	46	380	513	663
miR-21-5p	59	99	65	31	92	19	58	60	6	47	8	3	36	60	34
miR-210-3p	97	73	62	62	99	68	42	95	41	76	51	56	71	70	41
miR-210-5p	5	1	12	3	2	11	17	2	12	6	6	4	6	2	7
miR-211-5p	465	32	56	878	34	731	51	21	1662	314	1728	1500	723	308	26
miR-2110	9	1	1	9	NA	9	6	2	11	4	12	15	7	4	1
miR-2115-3p	2	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	3	NA
miR-2115-5p	1	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA
miR-2116-3p	1	4	2	3	NA	1	2	NA	2	1	1	2	1	1	3
miR-2116-5p	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-212-3p	10	1	1	17	1	35	3	1	45	16	53	38	27	15	1
miR-212-5p	2	NA	NA	NA	NA	4	NA	1	5	4	4	1	3	3	NA
miR-214-3p	7	8	2	3	8	1	10	7	NA	6	1	NA	2	3	3
miR-214-5p	30	32	41	20	29	26	34	34	3	27	3	1	20	24	25
miR-215-5p	17378	1156	99826	15111	1650	15366	84423	1209	2344	14753	2462	1976	15040	14387	54750
miR-216a-3p	1	2	NA	2	3	1	NA	2	NA	1	NA	NA	NA	3	NA
miR-216a-5p	7	5	NA	2	10	NA	3	5	1	7	1	NA	3	3	NA
miR-217	2	2	NA	NA	NA	NA	NA	1	1	2	1	NA	NA	1	NA
miR-218-5p	583	159	18	678	184	739	16	151	988	434	1252	693	598	487	18
miR-219a-1-3p	2	NA	2	1	NA	NA	2	NA	NA	2	NA	NA	3	NA	1
miR-219a-2-3p	498	NA	1	836	1	770	NA	NA	1233	412	1301	1011	728	378	NA
miR-219a-5p	73	1	2	120	NA	112	1	NA	170	57	187	163	112	60	1
miR-22-3p	41636	25561	94904	35171	29239	31323	83716	24761	20477	34644	21090	16623	30817	32824	55079
miR-22-5p	100	130	37	53	162	55	30	127	18	86	20	19	45	106	22
miR-221-3p	3252	3162	179	1843	3856	1751	169	3147	1216	2264	1325	1052	1624	2260	125
miR-221-5p	150	144	18	72	146	57	12	100	42	49	53	22	54	60	10
miR-222-3p	963	851	51	664	1002	641	44	801	592	676	491	505	538	571	25
miR-222-5p	1	1	NA	NA	1	NA	NA	NA	NA	1	NA	NA	1	2	NA
miR-223-3p	338	334	208	176	380	163	191	310	57	239	58	39	160	259	87
miR-224-3p	17	11	1	9	17	4	1	20	NA	9	NA	NA	7	17	1
miR-224-5p	625	675	57	289	686	268	40	486	6	393	5	3	185	297	27
miR-2276-3p	3	NA	1	2	NA	NA	1	NA	1	NA	NA	NA	1	2	NA
miR-2277-5p	5	2	NA	9	1	7	1	3	15	4	9	9	9	5	NA
miR-2355-5p	3	3	4	7	2	8	2	NA	4	4	9	4	5	7	2
miR-23a-3p	7871	6881	4458	5064	8164	4753	3460	6864	2892	5925	3014	2546	4537	6009	2330
miR-23a-5p	6	2	1	2	5	2	1	1	NA	2	1	NA	4	2	NA
miR-23b-3p	7871	6882	4460	5066	8165	4754	3461	6860	2896	5925	3016	2546	4540	6012	2333
miR-23c	6	8	4	7	6	7	7	6	7	4	6	3	5	4	6
miR-24-1-5p	10	11	13	9	9	6	15	15	4	11	7	3	6	15	7
miR-24-2-5p	85	95	12	39	126	33	11	76	6	59	5	3	29	49	10
miR-24-3p	2417	2996	656	1115	3378	1168	545	3201	348	1819	436	328	1077	1766	342
miR-25-3p	1550	1162	1182	993	1403	1105	980	1143	824	1147	765	627	1048	1310	643
miR-2682-3p	2	NA	NA	2	NA	NA	NA	NA	2	1	2	1	3	3	NA
miR-2682-5p	1	NA	NA	6	NA	2	NA	1	2	1	5	1	2	1	NA
miR-26a-1-3p	26	10	15	14	24	11	13	20	9	15	11	7	16	19	4
miR-26a-2-3p	26	10	16	14	24	11	13	20	9	15	11	7	16	20	4
miR-26a-5p	28075	25099	12817	21061	28630	20273	11801	25846	17461	22675	18154	14651	18430	21922	7395
miR-26b-3p	2	1	1	1	1	1	NA	NA	NA	2	1	NA	1	4	NA
miR-26b-5p	28018	25083	12801	21012	28585	20234	11787	25826	17424	22646	18113	14605	18393	21907	7379
miR-27a-3p	77389	56233	87327	58046	73207	56844	70906	56770	40121	65324	40329	32110	53135	64027	51548
miR-27b-3p	77390	56233	87332	58049	73207	56846	70907	56768	40123	65326	40330	32112	53137	64030	51551
miR-27b-5p	30	17	38	15	20	9	24	15	3	23	5	13	16	16	12
miR-28-3p	1682	1110	2449	1244	1355	1196	2188	1082	831	1152	717	643	1136	1244	1179
miR-28-5p	1724	978	1742	1858	1119	1752	1545	929	2174	1473	2346	2027	1537	1297	1021
miR-296-3p	3	1	NA	2	NA	2	1	1	1	1	NA	NA	1	2	NA
miR-296-5p	14	12	7	4	12	8	5	13	8	11	7	3	7	3	5
miR-299-3p	43	52	4	24	46	19	4	34	25	38	30	26	23	39	1
miR-299-5p	39	21	3	28	26	25	3	17	31	28	28	34	34	23	NA
miR-29a-3p	3582	2170	1527	3534	2648	3411	1355	2147	3939	2851	4070	3322	2985	2683	825
miR-29a-5p	27	11	23	22	10	22	14	10	21	12	22	15	22	18	13
miR-29b-1-5p	2	2	2	5	NA	3	3	3	6	1	5	3	1	4	1
miR-29b-2-5p	8	3	4	8	3	9	5	1	16	4	18	10	12	6	NA
miR-29b-3p	429	316	108	434	346	372	104	285	479	306	521	408	339	290	75
miR-29c-3p	3991	2475	1630	3955	2986	3769	1454	2424	4402	3142	4572	3711	3316	2964	900
miR-29c-5p	101	41	49	104	48	97	36	34	108	65	106	73	110	62	27
miR-300	2619	1659	184	2165	2229	2192	177	1699	2471	2037	2533	2241	2100	2021	103
miR-301a-3p	123	80	8	113	87	95	7	56	150	81	117	122	98	67	4
miR-301a-5p	5	1	NA	2	2	5	NA	2	5	1	2	1	2	1	NA
miR-301b	120	80	8	113	87	94	7	56	148	81	115	122	97	66	4
miR-302a-3p	2	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-302a-5p	2	NA	NA	1	NA	NA	NA	NA	NA	1	2	1	NA	NA	NA
miR-302b-3p	2	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-3064-5p	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA
miR-3065-3p	20	11	19	23	10	14	14	12	19	12	14	17	20	13	8
miR-3074-3p	1	NA	NA	2	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-30a-3p	1819	1594	854	1141	2037	1225	806	1557	774	1431	698	599	1136	1499	516
miR-30a-5p	54303	46523	24559	36226	52463	34104	20222	44839	27219	40680	27312	23146	33169	40503	12789
miR-30b-3p	8	7	13	7	5	7	11	13	10	6	4	2	10	4	11
miR-30b-5p	10455	9745	5156	7313	10531	6642	4409	9257	5942	7479	5802	4787	6091	7185	2609
miR-30c-1-3p	25	7	31	17	12	12	19	8	17	16	12	15	15	17	11
miR-30c-2-3p	59	38	37	55	55	43	29	50	44	47	44	22	32	50	16
miR-30c-5p	10470	9747	5164	7322	10536	6647	4419	9257	5951	7485	5809	4792	6097	7196	2611
miR-30d-3p	2	1	1	6	2	1	1	1	1	2	1	NA	NA	NA	NA
miR-30d-5p	54289	46509	24546	36208	52402	34103	20143	44827	27195	40687	27311	23123	33131	40478	12783
miR-30e-3p	1814	1593	858	1133	2034	1225	808	1551	777	1428	698	598	1136	1498	518
miR-30e-5p	93	75	98	77	76	82	57	74	95	73	81	87	74	80	45
miR-31-3p	4	NA	NA	2	1	2	NA	1	3	1	5	1	4	4	NA
miR-31-5p	181	64	5	226	67	199	3	57	314	170	298	244	209	127	4
miR-3117-3p	3	1	NA	7	NA	5	NA	NA	7	6	6	5	7	3	NA
miR-3124-5p	2	NA	NA	NA	NA	3	NA	NA	NA	1	2	1	NA	NA	NA
miR-3125	3	NA	4	NA	NA	1	4	NA	NA	NA	NA	1	NA	NA	NA
miR-3127-3p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA
